"dataset","method","labeling","TPR_mean","TPR_sd","TNR_mean","TNR_sd","BA_mean","BA_sd","F2_mean","F2_sd","n_seeds"
"Speech","LUNAR","true_rate",0.039344262295082,0.00897905831975682,0.983834482758621,0.000151095877932428,0.511589372526851,0.00456507709884466,0.039344262295082,0.0089790583197568,5
"Stamps","AutoEncoder","contam_0.1",0.27741935483871,0.0668917463010572,0.917799352750809,0.00671082244444263,0.597609353794759,0.0368012843727499,0.272151898734177,0.0656216498523029,5
"Stamps","AutoEncoder","true_rate",0.238709677419355,0.0706738783877634,0.923624595469256,0.00709025964407981,0.581167136444305,0.0388820690159216,0.238709677419355,0.0706738783877634,5
"Stamps","ECOD","contam_0.1",0.32258064516129,NA,0.922330097087379,NA,0.622455371124334,NA,0.316455696202532,NA,1
"Stamps","ECOD","true_rate",0.290322580645161,NA,0.928802588996764,NA,0.609562584820962,NA,0.290322580645161,NA,1
"Stamps","LUNAR","contam_0.1",0.219354838709677,0.0420593703561461,0.911974110032363,0.00421954848233182,0.56566447437102,0.023139459419239,0.215189873417722,0.0412607747164725,5
"Stamps","LUNAR","true_rate",0.2,0.0420593703561461,0.919741100323625,0.00421954848233182,0.559870550161812,0.023139459419239,0.2,0.0420593703561461,5
"Thyroid","AutoEncoder","contam_0.1",0.748387096774194,0.0882113733419083,0.916811675554308,0.00230245796261507,0.832599386164251,0.0452569156522617,0.471544715447154,0.0555803368617715,5
"Thyroid","AutoEncoder","true_rate",0.361290322580645,0.0502048065803387,0.98332865562728,0.00131042576816491,0.672309489103963,0.0257576161742518,0.361290322580645,0.0502048065803388,5
"Thyroid","ECOD","contam_0.1",0.946236559139785,NA,0.921975863036767,NA,0.934106211088276,NA,0.596205962059621,NA,1
"Thyroid","ECOD","true_rate",0.548387096774194,NA,0.988212180746562,NA,0.768299638760378,NA,0.548387096774194,NA,1
"Thyroid","LUNAR","contam_0.1",0.810752688172043,0.0163072590194657,0.918439517260735,0.000425645548361027,0.864596102716389,0.00836645228391342,0.510840108401084,0.0102748989756796,5
"Thyroid","LUNAR","true_rate",0.251612903225806,0.0163072590194657,0.980465899522874,0.000425645548360991,0.61603940137434,0.00836645228391335,0.251612903225806,0.0163072590194657,5
"Vertebral","AutoEncoder","contam_0.1",0.0333333333333333,0,0.89047619047619,0,0.461904761904762,0,0.0347222222222222,0,5
"Vertebral","AutoEncoder","true_rate",0.0333333333333333,0,0.861904761904762,0,0.447619047619048,0,0.0333333333333333,0,5
"Vertebral","ECOD","contam_0.1",0.0333333333333333,NA,0.89047619047619,NA,0.461904761904762,NA,0.0347222222222222,NA,1
"Vertebral","ECOD","true_rate",0.133333333333333,NA,0.876190476190476,NA,0.504761904761905,NA,0.133333333333333,NA,1
"Vertebral","LUNAR","contam_0.1",0.02,0.0182574185835055,0.888571428571429,0.0026082026547865,0.454285714285714,0.010432810619146,0.0208333333333333,0.0190181443578183,5
"Vertebral","LUNAR","true_rate",0.0333333333333333,0.0235702260395516,0.861904761904762,0.0033671751485074,0.447619047619048,0.0134687005940295,0.0333333333333333,0.0235702260395516,5
"Vowels","AutoEncoder","contam_0.1",0.747826086956522,0.074676365379642,0.921337126600285,0.00244318122863694,0.834581606778403,0.0385597733041395,0.522796352583587,0.0522053618155553,5
"Vowels","AutoEncoder","true_rate",0.369565217391304,0.0737209780774486,0.979374110953058,0.00241192389158083,0.674469664172181,0.0380664509845147,0.369565217391304,0.0737209780774486,5
"Vowels","ECOD","contam_0.1",0.239130434782609,NA,0.904694167852063,NA,0.571912301317336,NA,0.167173252279635,NA,1
"Vowels","ECOD","true_rate",0.173913043478261,NA,0.972972972972973,NA,0.573443008225617,NA,0.173913043478261,NA,1
"Vowels","LUNAR","contam_0.1",0.873913043478261,0.0388881387391268,0.925462304409673,0.00127230041394015,0.899687673943967,0.0200802195765335,0.610942249240122,0.0271862368085081,5
"Vowels","LUNAR","true_rate",0.51304347826087,0.0836321046159624,0.984068278805121,0.00273618549952652,0.748555878532995,0.0431841450577445,0.51304347826087,0.0836321046159624,5
"WBC","AutoEncoder","contam_0.1",0.88,0.109544511501033,0.938028169014084,0.00514293481225508,0.909014084507042,0.0573437231566442,0.709677419354839,0.0883423479847042,5
"WBC","AutoEncoder","true_rate",0.58,0.109544511501033,0.980281690140845,0.00514293481225506,0.780140845070422,0.0573437231566441,0.58,0.109544511501033,5
"WBC","ECOD","contam_0.1",0.8,NA,0.934272300469484,NA,0.867136150234742,NA,0.645161290322581,NA,1
"WBC","ECOD","true_rate",0.7,NA,0.985915492957746,NA,0.842957746478873,NA,0.7,NA,1
"WBC","LUNAR","contam_0.1",0.86,0.134164078649987,0.937089201877934,0.00629878303521065,0.898544600938967,0.070231430842599,0.693548387096774,0.108196837620958,5
