"dataset","method","n","d","cutoff","calibrated","TPR","TNR","BA","F2"
"Thyroid","RKCCD-OOS",3656,6,2,2,0.204301075268817,0.888857704181869,0.546579389725343,0.120711562897078
"Thyroid","RKCCD-OOS",3656,6,2.125,2,0.193548387096774,0.897277575077182,0.545412981086978,0.119047619047619
"Thyroid","RKCCD-OOS",3656,6,2.3125,2,0.139784946236559,0.906820095425203,0.523302520830881,0.0906555090655509
"Thyroid","RKCCD-OOS",3656,6,2.5,2,0.129032258064516,0.914959303957339,0.521995781010928,0.0873362445414847
"Thyroid","RKCCD-OOS",3656,6,2.6875,2,0.129032258064516,0.92169520067359,0.525363729369053,0.0904977375565611
"Thyroid","RKCCD-OOS",3656,6,2.875,2,0.118279569892473,0.927869772663486,0.523074671277979,0.0859375
"Thyroid","RKCCD-OOS",3656,6,3.0625,2,0.0860215053763441,0.934325007016559,0.510173256196452,0.0651465798045603
"Thyroid","RKCCD-OOS",3656,6,3.25,2,0.0860215053763441,0.939657591916924,0.512839548646634,0.0672268907563026
"Thyroid","RKCCD-OOS",3656,6,3.4375,2,0.0860215053763441,0.942183553185518,0.514102529280931,0.068259385665529
"Thyroid","RKCCD-OOS",3656,6,3.625,2,0.0860215053763441,0.946112826269997,0.516067165823171,0.0699300699300699
"Thyroid","RKCCD-OOS",3656,6,3.8125,2,0.0860215053763441,0.94779680044906,0.516909152912702,0.0706713780918728
"Thyroid","RKCCD-OOS",3656,6,4,2,0.0860215053763441,0.950322761717654,0.518172133546999,0.0718132854578097
"Thyroid","RKCCD-IOS",3656,6,1,2,0.989247311827957,0.735054729160819,0.862151020494388,0.326704545454545
"Thyroid","RKCCD-IOS",3656,6,1.1875,2,0.967741935483871,0.76115632893629,0.86444913221008,0.342726580350343
"Thyroid","RKCCD-IOS",3656,6,1.375,2,0.956989247311828,0.779960707269155,0.868474977290492,0.357429718875502
"Thyroid","RKCCD-IOS",3656,6,1.5625,2,0.946236559139785,0.799045747965198,0.872641153552491,0.374149659863946
